Name,Year,Team,Age,Pos.,G,GS,IP,WP,PB,Pass9,SB,CS,CS%,SBA,SBA%,SB 2,SB 3,SB H,SB Double,CS 2,CS 3,CS H,CS Double,Range RAA,Err RAA,CS RAA,Blk RAA,Frm RAA,Total RAA,/144
심우준,2022,KT,27,SS,129,124,1048.1,0,0,0.0,0,0,,0,,0,0,0,0,0,0,0,0,-0.82,-0.68,,,,-1.11,-1.21
최정,2022,SSG,35,3B,117,115,958.1,0,0,0.0,0,0,,0,,0,0,0,0,0,0,0,0,1.61,-0.14,,,,1.84,2.18
최정,2023,SSG,36,3B,114,112,934.1,0,0,0.0,0,0,,0,,0,0,0,0,0,0,0,0,-9.59,1.58,,,,-7.31,-8.23
최정,2024,SSG,37,3B,35,33,265.0,0,0,0.0,0,0,,0,,0,0,0,0,0,0,0,0,-2.64,-0.01,,,,-2.62,-10.18
김성욱,2023,NC,30,LF,31,19,167.2,0,0,0.0,0,0,,0,,0,0,0,0,0,0,0,0,2.46,0.31,,,,3.06,4.73
김성욱,2023,NC,30,CF,26,17,154.1,0,0,0.0,0,0,,0,,0,0,0,0,0,0,0,0,-5.17,0.21,,,,-4.85,-7.51
김성욱,2023,NC,30,RF,45,5,119.2,0,0,0.0,0,0,,0,,0,0,0,0,0,0,0,0,-0.17,0.24,,,,1.1,1.71
김성욱,2024,NC,31,LF,5,0,10.0,0,0,0.0,0,0,,0,,0,0,0,0,0,0,0,0,-0.35,0.01,,,,-0.34,-1.22
김성욱,2024,NC,31,CF,35,33,278.1,0,0,0.0,0,0,,0,,0,0,0,0,0,0,0,0,1.45,0.41,,,,1.39,5.01
김성욱,2024,NC,31,RF,7,2,24.0,0,0,0.0,0,0,,0,,0,0,0,0,0,0,0,0,0.51,0.08,,,,0.29,1.03
김재호,2022,두산,37,3B,7,4,34.0,0,0,0.0,0,0,,0,,0,0,0,0,0,0,0,0,1.79,0.03,,,,1.55,2.19
김재호,2022,두산,37,SS,98,61,580.0,0,0,0.0,0,0,,0,,0,0,0,0,0,0,0,0,1.3,0.48,,,,0.75,1.05
김재호,2023,두산,38,3B,1,0,2.0,0,0,0.0,0,0,,0,,0,0,0,0,0,0,0,0,-0.3,-0.49,,,,-0.79,-1.25
김재호,2023,두산,38,SS,86,71,611.1,0,0,0.0,0,0,,0,,0,0,0,0,0,0,0,0,7.18,-0.45,,,,6.87,10.87
김재호,2024,두산,39,SS,6,5,38.0,0,0,0.0,0,0,,0,,0,0,0,0,0,0,0,0,-2.15,0.14,,,,-1.35,-32.47
허경민,2022,두산,32,2B,1,0,2.0,0,0,0.0,0,0,,0,,0,0,0,0,0,0,0,0,0.23,0.0,,,,0.23,0.27
허경민,2022,두산,32,3B,120,117,976.1,0,0,0.0,0,0,,0,,0,0,0,0,0,0,0,0,-14.19,0.36,,,,-13.74,-16.35
허경민,2023,두산,33,3B,126,116,997.2,0,0,0.0,0,0,,0,,0,0,0,0,0,0,0,0,5.55,2.28,,,,7.62,8.44
허경민,2024,두산,34,3B,42,41,331.1,0,0,0.0,0,0,,0,,0,0,0,0,0,0,0,0,4.41,0.24,,,,4.65,15.56
서건창,2022,LG,33,2B,63,54,474.0,0,0,0.0,0,0,,0,,0,0,0,0,0,0,0,0,-6.43,0.07,,,,-6.29,-11.77
서건창,2023,LG,34,2B,35,25,237.0,0,0,0.0,0,0,,0,,0,0,0,0,0,0,0,0,-1.65,-1.62,,,,-4.59,-15.03
서건창,2024,KIA,35,1B,17,8,92.0,0,0,0.0,0,0,,0,,0,0,0,0,0,0,0,0,-2.77,0.23,,,,-2.55,-10.8
서건창,2024,KIA,35,2B,17,7,73.2,0,0,0.0,0,0,,0,,0,0,0,0,0,0,0,0,-0.2,0.29,,,,0.3,1.28
류지혁,2022,KIA,28,1B,36,14,158.0,0,0,0.0,0,0,,0,,0,0,0,0,0,0,0,0,2.1,0.12,,,,2.52,2.86
류지혁,2022,KIA,28,2B,2,0,7.0,0,0,0.0,0,0,,0,,0,0,0,0,0,0,0,0,0.41,0.01,,,,0.42,0.48
류지혁,2022,KIA,28,3B,103,93,785.2,0,0,0.0,0,0,,0,,0,0,0,0,0,0,0,0,-7.49,-0.29,,,,-8.05,-9.13
류지혁,2023,삼성,29,1B,26,20,176.0,0,0,0.0,0,0,,0,,0,0,0,0,0,0,0,0,-0.13,0.4,,,,0.32,0.35
류지혁,2023,삼성,29,2B,11,6,56.0,0,0,0.0,0,0,,0,,0,0,0,0,0,0,0,0,0.65,0.2,,,,0.63,0.68
류지혁,2023,삼성,29,3B,44,35,288.0,0,0,0.0,0,0,,0,,0,0,0,0,0,0,0,0,-1.26,0.45,,,,-1.15,-1.25
류지혁,2023,KIA,29,1B,5,2,18.0,0,0,0.0,0,0,,0,,0,0,0,0,0,0,0,0,-0.22,0.04,,,,-0.18,-0.19
류지혁,2023,KIA,29,2B,7,7,52.0,0,0,0.0,0,0,,0,,0,0,0,0,0,0,0,0,-1.88,0.19,,,,-1.97,-2.15
류지혁,2023,KIA,29,3B,55,48,402.2,0,0,0.0,0,0,,0,,0,0,0,0,0,0,0,0,-4.67,0.33,,,,-5.44,-5.93
류지혁,2024,삼성,30,1B,4,1,10.0,0,0,0.0,0,0,,0,,0,0,0,0,0,0,0,0,-0.66,0.03,,,,-0.63,-3.78
류지혁,2024,삼성,30,2B,18,14,117.1,0,0,0.0,0,0,,0,,0,0,0,0,0,0,0,0,0.49,0.45,,,,0.95,5.7
류지혁,2024,삼성,30,3B,5,4,34.1,0,0,0.0,0,0,,0,,0,0,0,0,0,0,0,0,-0.45,0.13,,,,-0.84,-5.02
오재일,2022,삼성,36,1B,119,112,949.0,0,0,0.0,0,0,,0,,0,0,0,0,0,0,0,0,-1.08,0.71,,,,-0.53,-0.56
오재일,2023,삼성,37,1B,88,80,700.0,0,0,0.0,0,0,,0,,0,0,0,0,0,0,0,0,9.54,0.11,,,,10.25,13.92
오재일,2024,삼성,38,1B,8,8,62.2,0,0,0.0,0,0,,0,,0,0,0,0,0,0,0,0,-1.13,0.16,,,,-0.97,-10.78
