Rank,Name,Postion,G,GS,IP,ifH,FC,PO,Ass,E,BBO,BBO%,F%,RF9,Range RAA,Err RAA,DP RAA,Bt RAA, Total RAA,/144,Team
1,박찬호,SS,32,31,269.0,7,0,42,81,4,62,82.3,96.9,4.12,4.49,-0.53,-0.41,,3.56,16.00,KIA
2,김선빈,2B,35,33,271.0,11,0,64,89,5,72,77.8,96.8,5.08,3.18,-0.49,-0.21,,2.48,9.90,KIA
3,홍종표,2B,6,0,14.0,0,0,4,7,0,2,100.0,100.0,7.07,0.86,0.05,,,0.92,7.33,KIA
4,변우혁,1B,1,1,6.0,0,0,9,0,0,0,,100.0,13.50,0.52,0.01,,,0.54,38.53,KIA
5,박민,SS,6,3,30.0,4,0,6,11,3,18,61.1,85.0,5.10,0.01,-0.39,0.71,,0.33,6.86,KIA
6,서건창,2B,17,7,71.2,0,0,15,23,1,13,92.3,97.4,4.77,-0.17,0.27,0.21,,0.32,1.39,KIA
7,김선빈,SS,2,0,3.0,0,0,1,2,0,3,100.0,100.0,9.00,-0.04,0.01,,,-0.03,-0.11,KIA
8,황대인,1B,2,2,10.0,1,0,9,1,0,9,88.9,100.0,9.00,-0.40,0.02,,,-0.38,-18.13,KIA
9,홍종표,SS,6,6,43.0,0,0,8,11,1,2,50.0,95.0,3.98,-1.05,0.15,0.49,,-0.41,-3.29,KIA
10,홍종표,3B,5,0,9.0,0,0,0,0,0,0,,,0.00,-1.00,0.03,,,-0.96,-7.71,KIA
11,김규성,SS,5,0,11.2,0,0,4,3,1,3,66.7,87.5,5.40,0.20,-0.46,-0.79,,-1.05,-25.21,KIA
12,김규성,3B,1,0,5.0,0,0,0,0,0,0,,,0.00,-1.18,0.02,,,-1.16,-27.88,KIA
13,김도영,3B,40,40,342.2,11,0,27,61,9,31,35.5,90.7,2.31,-0.79,-1.27,0.00,0.47,-1.59,-5.72,KIA
14,서건창,1B,17,8,92.0,2,0,69,9,2,35,88.6,97.5,7.63,-2.83,0.23,,-0.01,-2.62,-11.41,KIA
15,이우성,1B,33,29,248.2,8,0,228,15,3,132,91.7,98.8,8.79,-3.48,-0.88,,-0.01,-4.37,-15.73,KIA
