,Name,Team,Position,Total RAA,G,GS,IP,ifH,FC,PO,Ass,E,BBO,BBO%,F%,RF9,Range RAA,Err RAA,DP RAA,Bt RAA,/144
0,황재균,KT,3B,5.44,41,39,335.1,11,0,27,76,4,59,74.6,96.3,2.76,4.93,0.2,0.19,0.12,19.11
1,문상철,KT,1B,5.41,24,23,175.0,6,0,162,15,0,108,94.4,100.0,9.1,4.98,0.43,,,22.26
2,신본기,KT,SS,3.12,22,8,91.1,4,0,14,29,1,34,85.3,97.7,4.24,1.69,0.33,1.1,,18.71
3,황재균,KT,1B,0.78,1,0,1.0,0,0,2,0,0,0,,100.0,18.0,0.78,0.0,,,2.74
4,이호연,KT,3B,0.47,7,3,26.0,3,0,0,2,0,1,-200.0,100.0,0.69,0.38,0.09,,,4.21
5,오윤석,KT,3B,0.22,1,0,2.0,0,0,0,1,0,1,100.0,100.0,4.5,0.21,0.01,,,6.2
6,오윤석,KT,2B,0.13,2,0,9.0,0,0,3,1,0,4,100.0,100.0,4.0,0.1,0.03,,,3.76
7,오윤석,KT,1B,0.07,1,0,1.0,0,0,2,0,0,0,,100.0,18.0,0.07,0.0,,,2.09
8,장준원,KT,SS,0.0,3,1,13.0,0,0,1,2,0,3,100.0,100.0,2.08,-0.05,0.05,,,0.02
9,천성호,KT,3B,0.0,2,0,3.0,1,0,0,0,0,0,,,0.0,-0.01,0.01,,,0.0
10,박병호,KT,1B,-0.31,28,19,192.1,10,0,166,13,2,100,88.0,98.9,8.38,-0.78,0.47,,-0.01,-1.22
11,황재균,KT,SS,-0.32,1,0,1.0,1,0,0,0,0,0,,,0.0,-0.32,0.0,,,-1.12
12,신본기,KT,3B,-0.38,2,0,3.0,1,0,0,1,0,0,,100.0,3.0,-0.2,0.01,-0.19,,-2.27
13,박경수,KT,2B,-0.45,3,0,3.1,0,0,1,1,0,1,100.0,100.0,5.4,-0.46,0.01,,,-12.85
14,신본기,KT,2B,-0.68,4,0,4.2,1,0,0,0,0,0,,,0.0,-0.7,0.02,,,-4.08
15,이호연,KT,2B,-1.02,5,0,10.0,2,0,2,2,0,4,50.0,100.0,3.6,-1.06,0.04,,,-9.21
16,김상수,KT,SS,-1.8,34,33,264.0,11,0,57,67,4,64,76.6,96.9,4.23,-0.64,-0.06,-1.1,,-7.64
17,천성호,KT,2B,-7.19,42,42,342.1,13,0,64,99,3,87,81.6,98.2,4.29,-7.96,0.77,0.0,,-24.66
