,Name,Team,Position,WAR,G,GS,GR,GF,CG,SHO,W,L,S,HD,IP,ER,R,rRA,TBF,H,2B,3B,HR,BB,HP,IB,SO,ROE,BK,WP,ERA,RA9,rRA9,rRA9pf,FIP,WHIP
0,김광현,SSG,P,0.89,9,9,0,0,0,0,3,3,0,0,47.1,27,27,26.65,198,44,6,0,8,15,1,0,52,2,0,1,5.13,5.13,5.07,4.93,4.53,1.25
1,엘리아스,SSG,P,0.74,7,7,0,0,0,0,2,3,0,0,40.0,21,24,24.0,176,44,5,0,5,10,3,0,34,4,0,2,4.73,5.4,5.4,5.21,4.58,1.35
2,문승원,SSG,P,0.65,17,0,17,17,0,0,2,0,11,0,18.1,5,5,6.55,70,13,2,0,2,4,0,0,16,1,0,1,2.45,2.45,3.22,3.1,4.01,0.93
3,오원석,SSG,P,0.62,9,8,1,0,0,0,2,2,0,1,40.0,25,25,23.6,178,45,3,1,5,19,4,1,34,1,0,3,5.63,5.63,5.31,5.26,5.28,1.6
4,노경은,SSG,P,0.53,23,0,23,2,0,0,2,2,0,12,25.1,9,9,12.6,105,21,2,0,6,11,2,0,20,0,0,0,3.2,3.2,4.48,4.31,6.65,1.26
5,조병현,SSG,P,0.48,22,0,22,4,0,0,2,0,0,8,21.0,9,9,9.2,85,17,5,0,3,8,1,0,21,0,0,0,3.86,3.86,3.94,3.85,4.74,1.19
6,이로운,SSG,P,0.28,23,0,23,5,0,0,1,0,0,5,23.2,8,13,12.15,103,22,3,1,0,14,0,2,14,2,0,0,3.04,4.94,4.62,4.57,4.44,1.52
7,고효준,SSG,P,0.24,18,0,18,1,0,0,2,0,0,5,14.1,9,9,7.6,68,11,2,0,1,15,0,1,21,0,0,2,5.65,5.65,4.77,4.59,4.63,1.81
8,앤더슨,SSG,P,0.21,1,1,0,0,0,0,0,0,0,0,3.0,0,0,0.0,13,3,0,0,0,1,0,0,6,0,0,0,0.0,0.0,0.0,0.0,0.25,1.33
9,박민호,SSG,P,0.18,5,0,5,2,0,0,1,0,0,0,6.0,1,1,1.0,25,5,0,0,1,2,0,0,5,0,0,0,1.5,1.5,1.5,1.44,5.15,1.17
10,송영진,SSG,P,0.07,8,3,5,1,0,0,1,0,0,0,24.0,15,17,17.0,107,28,9,1,3,11,0,0,24,0,0,1,5.63,6.38,6.38,6.43,4.62,1.63
11,최민준,SSG,P,0.06,15,0,15,2,0,0,1,0,0,0,20.2,14,14,15.05,104,26,5,1,3,13,3,1,21,2,0,0,6.1,6.1,6.55,6.3,5.65,1.89
12,이기순,SSG,P,-0.03,4,1,3,2,0,0,0,1,0,0,9.1,7,7,7.0,43,7,1,0,2,8,1,0,10,0,0,0,6.75,6.75,6.75,6.55,7.08,1.61
13,한두솔,SSG,P,-0.04,21,0,21,3,0,0,0,1,0,1,16.0,13,16,13.45,84,21,1,0,1,10,3,0,16,3,0,0,7.31,9.0,7.57,7.26,4.98,1.94
14,서진용,SSG,P,-0.06,5,0,5,1,0,0,0,0,0,0,4.0,4,4,4.0,20,2,0,0,0,6,0,1,1,1,0,0,9.0,9.0,9.0,8.92,7.46,2.0
15,박종훈,SSG,P,-0.06,6,6,0,0,0,0,1,3,0,0,23.1,21,22,20.45,113,28,6,0,6,15,4,0,25,0,0,1,8.1,8.49,7.89,7.65,7.12,1.84
16,이건욱,SSG,P,-0.07,5,1,4,1,0,0,1,1,0,0,9.1,7,8,8.15,46,12,1,0,1,5,2,0,6,2,0,2,6.75,7.71,7.86,7.8,6.21,1.82
17,김주온,SSG,P,-0.08,1,0,1,1,0,0,0,0,0,0,3.2,5,5,6.55,18,4,1,0,1,3,0,0,4,0,0,0,12.27,12.27,16.08,15.48,7.27,1.91
18,더거,SSG,P,-0.53,6,6,0,0,0,0,0,3,0,0,22.2,32,33,33.0,116,37,7,3,2,10,3,0,18,1,0,0,12.71,13.1,13.1,12.72,5.06,2.07
