,RANK,NAME,season,Position,WAR,G,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,R/ePA,wRC+
0,1,서동욱,24,C,0.00,2,3,3,2,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0.000,0.333,0.000,0.333,-0.086,31.6
1,2,백두산,24,C,-0.02,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.000,0.000,0.000,-0.315,-142.9
2,3,손성빈,24,C,-0.16,12,17,17,15,3,1,0,0,0,1,0,0,0,2,0,0,5,1,0,0,0.067,0.176,0.067,0.243,-0.187,-45.7
3,4,정보근,24,C,-0.20,25,55,54,53,1,13,0,1,0,15,2,0,0,1,0,0,10,3,1,0,0.245,0.259,0.283,0.542,-0.081,36.2
4,5,유강남,24,C,-0.51,26,76,75,67,2,11,2,0,0,13,4,0,0,5,3,0,10,2,1,0,0.164,0.253,0.194,0.447,-0.111,13.8
5,1,정훈,24,1B,0.09,36,139,139,129,12,35,9,0,3,53,15,1,0,10,0,0,24,1,0,0,0.271,0.324,0.411,0.735,-0.013,86.8
6,2,나승엽,24,1B,-0.24,17,57,57,52,7,14,1,2,0,19,3,0,0,4,0,0,17,0,0,1,0.269,0.316,0.365,0.681,-0.033,72.0
7,1,정대선,24,2B,0.00,3,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0.000,0.000,0.000,0.000,-0.315,-142.9
8,2,김민성,24,2B,-0.04,19,52,52,43,2,9,1,0,1,13,4,0,1,7,1,0,9,1,0,1,0.209,0.327,0.302,0.629,-0.052,57.5
9,3,최항,24,2B,-0.13,25,63,63,56,3,13,2,0,0,15,6,0,0,7,0,0,15,2,0,0,0.232,0.317,0.268,0.585,-0.066,46.9
10,4,이주찬,24,2B,-0.36,14,24,24,23,6,4,1,0,1,8,2,0,0,1,0,0,9,1,0,0,0.174,0.208,0.348,0.556,-0.018,83.5
11,1,손호영,24,3B,0.93,27,104,103,98,15,32,6,2,3,51,18,6,3,3,2,0,21,1,1,0,0.327,0.359,0.520,0.879,0.054,137.4
12,2,오선진,24,3B,0.06,8,12,11,8,0,1,0,0,0,1,0,0,0,1,2,0,4,0,1,0,0.125,0.364,0.125,0.489,-0.053,59.9
13,3,한동희,24,3B,-0.21,10,23,23,22,1,7,2,0,0,9,3,0,0,1,0,1,5,0,0,0,0.318,0.348,0.409,0.757,-0.021,81.1
14,4,박승욱,24,3B,-0.79,37,90,90,81,8,18,2,0,1,23,7,0,1,7,2,0,23,2,0,0,0.222,0.300,0.284,0.584,-0.066,46.5
15,1,이학주,24,SS,0.15,18,55,53,47,7,16,2,1,0,20,0,0,0,5,1,0,22,0,2,0,0.340,0.415,0.426,0.841,0.024,114.3
16,2,노진혁,24,SS,-0.29,17,45,45,39,3,6,1,0,0,7,2,0,0,6,0,0,12,0,0,0,0.154,0.267,0.179,0.446,-0.108,14.7
17,1,황성빈,24,LF,1.15,26,41,41,37,18,14,0,2,3,27,8,12,0,4,0,0,7,0,0,0,0.378,0.439,0.730,1.169,0.166,223.4
18,2,고승민,24,LF,0.95,20,79,79,72,8,22,8,1,2,38,14,3,0,5,1,0,15,1,0,1,0.306,0.354,0.528,0.882,0.044,130.5
19,3,이정훈,24,LF,0.20,13,31,31,24,1,6,3,0,0,9,7,0,0,6,0,0,9,1,0,1,0.250,0.387,0.375,0.762,0.032,121.5
20,1,윤동희,24,CF,0.49,38,160,160,142,31,39,10,1,2,57,13,2,2,16,0,0,26,2,0,2,0.275,0.344,0.401,0.745,-0.008,90.9
21,2,신윤후,24,CF,0.01,3,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.000,0.000,0.000,-0.315,-142.9
22,3,김민석,24,CF,-0.30,15,48,47,44,3,9,1,1,0,12,2,1,1,1,2,0,12,3,1,0,0.205,0.255,0.273,0.528,-0.080,37.4
23,1,레이예스,24,RF,1.25,39,173,173,156,23,54,9,0,5,78,28,4,0,14,1,0,26,5,0,2,0.346,0.399,0.500,0.899,0.054,137.8
24,2,장두성,24,RF,0.04,19,14,14,11,4,2,0,0,0,2,0,4,2,2,1,0,4,0,0,0,0.182,0.357,0.182,0.539,-0.061,50.3
25,1,전준우,24,DH,1.12,39,172,172,156,19,48,11,1,6,79,29,3,0,13,2,0,25,4,0,1,0.308,0.366,0.506,0.872,0.049,134.2
