Unnamed: 0,RANK,NAME,position,Total RAA,G,GS,IP,BAFZ,RF9,ofAss,F12 A,F12 N,F12 %,F23 A,F23 N,F23 %,F34 A,F34 N,F34 %,H13 A,H13 N,H13 %,H24 A,H24 N,H24 %,D14 A,D14 N,D14 %,Range RAA,Arm RAA,Err RAA,/144,Team
0,1,황성빈,LF,1.14,8,4,44.0,57.1,1.64,0,0,4,0.0,0,0,0.0,0,0,0.0,0,2,0.0,0,0,0.0,0,1,0.0,0.93,0.16,0.04,6.3,lotte
1,2,장두성,RF,0.96,6,0,9.2,0.0,1.86,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,1,0.0,0.79,0.14,0.03,7.29,lotte
2,3,장두성,CF,0.79,4,1,14.0,50.0,2.57,0,0,1,0.0,0,1,0.0,0,0,0.0,0,1,0.0,0,1,0.0,0,0,0.0,0.7,0.08,0.02,6.02,lotte
3,4,김민석,LF,0.54,11,8,77.0,25.9,2.57,1,1,5,20.0,0,1,0.0,0,1,0.0,3,12,0.0,0,5,0.0,2,3,0.0,0.56,-0.09,0.07,5.19,lotte
4,5,황성빈,RF,0.38,2,0,4.0,0.0,2.25,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.37,0.0,0.01,2.12,lotte
5,6,윤동희,CF,0.27,34,33,285.0,42.2,2.81,1,0,18,0.0,0,7,0.0,0,2,0.0,9,18,0.0,0,13,0.0,4,6,0.0,-0.81,0.65,0.43,1.01,lotte
6,7,레이예스,CF,0.22,1,0,2.0,0.0,9.0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.21,0.0,0.0,0.8,lotte
7,8,고승민,RF,0.16,1,0,2.0,0.0,4.5,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.15,0.0,0.01,1.14,lotte
8,9,정훈,LF,0.0,1,0,2.0,0.0,0.0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.01,lotte
9,10,김민석,CF,-0.02,2,2,16.1,66.7,4.41,1,0,5,0.0,0,1,0.0,0,2,0.0,1,3,0.0,0,1,0.0,0,0,0.0,0.24,-0.28,0.02,-0.16,lotte
10,11,황성빈,CF,-0.31,4,3,25.0,0.0,0.36,0,0,0,0.0,0,0,0.0,0,0,0.0,1,1,0.0,0,1,0.0,0,0,0.0,-0.3,-0.05,0.04,-1.69,lotte
11,12,고승민,LF,-0.46,9,9,63.0,15.4,2.0,2,0,1,0.0,0,1,0.0,0,0,0.0,3,6,0.0,0,3,0.0,1,2,0.0,-0.99,0.46,0.06,-3.32,lotte
12,13,윤동희,RF,-0.48,2,2,18.0,33.3,2.0,1,0,1,0.0,0,0,0.0,0,0,0.0,0,2,0.0,0,0,0.0,0,0,0.0,-0.41,-0.13,0.06,-1.81,lotte
13,14,장두성,LF,-0.52,5,1,15.0,0.0,1.8,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,-0.54,0.0,0.01,-3.96,lotte
14,15,전준우,LF,-1.16,17,17,141.1,48.4,2.67,1,0,6,0.0,0,3,0.0,1,6,16.7,2,9,16.7,0,3,16.7,1,3,16.7,-1.21,0.42,-0.36,-4.27,lotte
15,16,레이예스,RF,-2.24,37,37,308.2,33.9,1.84,0,0,15,0.0,0,4,0.0,0,2,0.0,8,23,0.0,0,9,0.0,1,6,0.0,-2.06,0.21,-0.4,-8.28,lotte
