Unnamed: 0,Rank,Name,Team,Position,WAR,G,GS,GR,GF,CG,SHO,W,L,S,HD,IP,ER,R,rRA,TBF,H,2B,3B,HR,BB,HP,IB,SO,ROE,BK,WP,ERA,RA9,rRA9,rRA9pf,FIP,WHIP
0,1,반즈,lotte,P,1.68,8,8,0,0,0,0,2,2,0,0,48.0,22,22,21.30,200,46,7,1,7,13,3,0,63,1,0,2,4.13,4.13,3.99,3.85,3.70,1.23
1,2,윌커슨,lotte,P,1.43,9,9,0,0,0,0,2,4,0,0,51.2,26,27,27.00,215,57,12,1,8,6,1,0,43,3,0,2,4.53,4.70,4.70,4.57,4.40,1.22
2,3,박세웅,lotte,P,0.95,8,8,0,0,0,0,3,3,0,0,43.2,22,28,26.60,195,52,9,0,3,14,2,0,31,5,0,2,4.53,5.77,5.48,5.33,4.39,1.51
3,4,김원중,lotte,P,0.72,15,0,15,12,0,0,0,2,7,0,15.2,5,5,5.70,70,13,1,0,2,10,1,3,19,0,0,0,2.87,2.87,3.27,3.14,4.48,1.47
4,5,최준용,lotte,P,0.63,22,0,22,3,0,0,1,2,0,3,19.1,8,8,8.85,85,20,2,0,1,10,0,1,11,1,0,1,3.72,3.72,4.12,3.90,4.85,1.55
5,6,나균안,lotte,P,0.46,8,8,0,0,0,0,1,4,0,0,37.1,26,29,27.60,187,58,7,0,6,17,3,0,34,1,0,4,6.27,6.99,6.65,6.56,5.51,2.01
6,7,한현희,lotte,P,0.43,10,0,10,3,0,0,1,0,0,0,11.1,4,4,3.30,47,10,0,0,0,3,3,0,10,1,0,0,3.18,3.18,2.62,2.42,3.65,1.15
7,8,임준섭,lotte,P,0.26,17,0,17,1,0,0,0,0,0,2,9.1,6,6,3.75,41,6,1,0,0,9,2,0,3,0,0,0,5.79,5.79,3.62,3.51,7.06,1.61
8,9,이인복,lotte,P,0.23,6,5,1,0,0,0,0,2,0,0,27.0,21,21,22.05,127,37,10,0,5,11,2,0,15,1,0,4,7.00,7.00,7.35,7.05,6.52,1.78
9,10,전미르,lotte,P,0.21,22,0,22,3,0,0,1,2,0,4,19.2,11,17,13.75,96,21,8,0,1,15,0,2,24,4,0,3,5.03,7.78,6.29,5.82,3.98,1.83
10,11,진해수,lotte,P,0.21,6,0,6,0,0,0,0,0,0,1,4.1,0,0,1.00,15,2,1,0,0,1,0,0,2,0,0,0,0.00,0.00,2.08,1.92,3.78,0.69
11,12,김상수,lotte,P,0.18,21,0,21,3,0,0,2,0,0,1,18.2,9,9,13.20,84,19,2,0,2,8,2,0,13,0,1,2,4.34,4.34,6.36,6.17,5.41,1.45
12,13,박진형,lotte,P,0.14,6,0,6,0,0,0,0,0,0,0,5.2,3,3,2.65,22,6,1,0,0,1,1,0,3,0,0,0,4.76,4.76,4.21,4.13,3.99,1.24
13,14,박진,lotte,P,0.07,8,0,8,3,0,0,0,2,0,0,5.2,5,5,4.15,27,10,2,0,1,1,0,0,2,0,0,0,7.94,7.94,6.59,6.20,5.98,1.94
14,15,현도훈,lotte,P,0.04,2,0,2,2,0,0,0,0,0,0,3.0,1,1,1.70,12,2,0,1,0,1,0,0,3,0,0,0,3.00,3.00,5.10,4.71,2.75,1.00
15,16,홍민기,lotte,P,0.04,1,1,0,0,0,0,0,0,0,0,2.2,2,2,2.00,15,4,1,0,0,0,2,0,1,1,0,1,6.75,6.75,6.75,6.24,5.60,1.50
16,17,정우준,lotte,P,0.01,4,0,4,3,0,0,0,0,0,0,4.0,2,2,2.70,16,4,1,0,1,1,0,0,1,0,0,0,4.50,4.50,6.07,5.91,7.34,1.25
17,18,김도규,lotte,P,0.01,2,0,2,1,0,0,0,0,0,0,2.0,2,2,2.00,13,4,0,0,0,3,0,1,2,0,0,0,9.00,9.00,9.00,9.50,6.36,3.50
18,19,정현수,lotte,P,0.00,1,0,1,0,0,0,0,0,0,0,0.0,1,1,0.30,1,0,0,0,0,1,0,0,0,0,0,0,99.99,99.99,13.40,12.78,3104.21,99.99
19,20,우강훈,lotte,P,-0.01,1,0,1,0,0,0,0,0,0,0,0.0,1,1,0.65,3,0,0,0,0,2,1,0,0,0,0,0,99.99,99.99,22.85,22.19,9304.21,99.99
22,21,최이준,lotte,P,-0.01,8,0,8,5,0,0,0,0,0,0,8.0,6,6,8.05,44,12,1,1,0,9,1,0,4,0,0,1,6.75,6.75,9.06,8.88,6.84,2.63
23,22,구승민,lotte,P,-0.26,9,0,9,0,0,0,0,2,0,0,5.1,13,13,13.70,39,17,2,0,4,7,0,0,5,0,0,4,21.94,21.94,23.12,22.25,14.86,4.50
