RANK,NAME,POSITION,G,GS,IP,WP,PB,PASS9,SB,CS,CS%,SBA,SBA%,SB 2,SB 3,SB H,SB DOUBLE,CS 2,CS 3,CS H,CS DOUBLE,RANGE RAA,ERR RAA,CS RAA,BLK RAA,FRM RAA,TOTAL RAA,/144,TEAM
1,김태군,C,25,23,175.2,3,2,0.256,17,6,26.1,264,8.7,14,3,0,0,5,0,1,0,1.1,0.3,-0.21,2.47,,3.36,17.92,KIA
2,한준수,C,28,17,173.0,13,3,0.832,18,4,18.2,275,8.0,17,1,0,0,3,1,0,0,0.32,0.79,0.21,-1.38,,-0.06,-0.28,KIA
3,한승택,C,3,0,8.0,2,0,2.25,0,0,,8,0.0,0,0,0,0,0,0,0,0,-0.04,-0.46,,-1.09,,-1.59,-57.24,KIA
1,김형준,C,33,31,275.0,8,1,0.295,19,12,38.7,414,7.5,15,4,0,1,12,0,0,0,0.12,-1.25,0.0,1.51,,0.75,3.25,NC
2,박세혁,C,16,9,84.2,5,1,0.638,9,2,18.2,117,9.4,9,0,0,0,1,1,0,1,0.16,-0.62,0.0,-1.51,,-1.47,-9.6,NC
1,이재원,C,17,12,88.0,4,2,0.614,10,4,28.6,158,8.9,10,0,0,0,4,0,0,0,0.0,0.4,0.62,0.04,0.57,0.57,4.85,hanhwa
2,최재훈,C,26,22,190.0,8,0,0.379,19,8,29.6,275,9.8,16,3,0,2,7,1,0,1,-0.15,-0.14,0.22,-0.13,-0.17,-0.17,-0.97,hanhwa
3,박상언,C,12,6,72.0,5,0,0.625,11,0,0.0,138,8.0,11,0,0,0,0,0,0,0,-0.04,-0.17,-0.83,0.09,-0.95,-0.95,-11.43,hanhwa
1,손성빈,C,12,3,45.0,1,0,0.2,0,0,0.0,55,0.0,0,0,0,0,0,0,0,0,-0.08,0.2,0.0,0.75,0.0,1.36,16.38,lotte
2,정보근,C,25,15,138.1,13,0,0.846,16,6,27.3,222,9.9,13,3,0,2,4,2,0,1,0.4,0.63,0.33,-1.07,0.0,0.28,1.63,lotte
3,서동욱,C,2,0,5.0,0,0,0.0,0,1,100.0,3,33.3,0,0,0,0,0,1,0,1,0.0,0.02,0.0,0.05,0.0,0.08,5.42,lotte
4,유강남,C,24,21,154.0,12,0,0.701,16,10,38.5,245,10.6,15,1,0,0,10,0,0,1,-0.04,-0.3,-0.33,0.27,0.0,-0.4,-2.2,lotte
