NAME,TEAM,POSITION,WAR,G,PA,EPA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,R/EPA,WRC+
에레디아,SSG,LF,1.56,39.0,165,163,149,27,58,7,0,6,83,32,1,2,11,3,2,22,4,0,2,0.389,0.436,0.557,0.993,0.079,156.5
최지훈,SSG,CF,1.36,42.0,195,194,172,31,48,7,1,3,66,14,13,2,21,0,0,29,2,1,1,0.279,0.356,0.384,0.74,-0.005,93.0
최정,SSG,3B,1.33,36.0,152,152,129,25,35,10,0,12,81,33,3,0,16,6,0,32,4,0,1,0.271,0.375,0.628,1.003,0.065,146.3
박성한,SSG,SS,1.01,42.0,184,182,163,24,49,9,0,1,61,16,4,2,20,0,1,24,3,1,0,0.301,0.377,0.374,0.751,0.001,97.6
이지영,SSG,C,0.8,40.0,133,132,122,14,35,2,0,0,37,16,4,0,6,3,0,9,1,1,1,0.287,0.333,0.303,0.636,-0.026,77.1
김성현,SSG,2B,0.49,19.0,66,65,56,10,13,2,0,0,15,5,1,0,5,4,0,8,2,1,0,0.232,0.338,0.268,0.606,-0.026,77.7
오태곤,SSG,LF,0.39,36.0,54,53,47,7,10,1,0,0,11,2,8,0,6,0,1,14,0,1,0,0.213,0.302,0.234,0.536,-0.077,39.2
최경모,SSG,2B,0.23,27.0,25,23,19,6,4,0,0,0,4,0,3,2,4,0,0,3,0,2,0,0.211,0.348,0.211,0.559,-0.022,81.1
박지환,SSG,SS,0.23,11.0,30,30,26,6,8,0,0,0,8,3,1,1,3,1,0,6,0,0,0,0.308,0.4,0.308,0.708,-0.008,90.4
고명준,SSG,1B,0.19,40.0,145,145,138,13,38,5,0,5,58,20,1,4,7,0,0,35,2,0,0,0.275,0.31,0.42,0.73,-0.032,72.4
정준재,SSG,2B,0.09,6.0,10,10,10,1,1,1,0,0,2,2,0,0,0,0,0,6,0,0,0,0.1,0.1,0.2,0.3,-0.193,-50.4
추신수,SSG,DH,0.07,20.0,77,76,57,10,13,1,0,1,17,8,3,1,13,3,0,20,0,1,3,0.228,0.382,0.298,0.68,-0.022,80.2
최준우,SSG,2B,0.02,2.0,3,3,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.333,0.0,0.333,-0.087,30.4
김민식,SSG,C,0.01,2.0,4,4,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.25,0.0,0.25,-0.139,-9.1
김창평,SSG,CF,-0.04,6.0,9,9,7,1,0,0,0,0,0,0,1,0,2,0,0,4,0,0,0,0.0,0.222,0.0,0.222,-0.165,-28.6
류효승,SSG,LF,-0.06,1.0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-0.313,-141.5
한유섬,SSG,RF,-0.07,35.0,144,142,129,22,31,7,0,11,71,34,0,0,12,2,2,46,1,0,1,0.24,0.313,0.55,0.863,-0.002,95.0
강진성,SSG,RF,-0.13,6.0,16,15,15,2,2,0,0,0,2,2,0,0,0,0,0,5,0,1,0,0.133,0.133,0.133,0.266,-0.15,-10.3
조형우,SSG,C,-0.19,14.0,33,33,28,4,7,0,0,0,7,4,0,0,1,4,0,4,0,0,0,0.25,0.364,0.25,0.614,-0.039,67.2
안상현,SSG,2B,-0.24,21.0,60,59,55,2,11,1,0,0,12,2,1,1,4,0,0,10,0,1,0,0.2,0.254,0.218,0.472,-0.095,25.6
김찬형,SSG,SS,-0.29,5.0,9,9,9,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0.0,0.0,0.0,0.0,-0.315,-143.0
전의산,SSG,1B,-0.39,10.0,25,25,23,1,3,0,0,1,6,2,0,0,2,0,0,4,1,0,0,0.13,0.2,0.261,0.461,-0.147,-15.3
하재훈,SSG,LF,-0.7,38.0,111,111,105,11,27,6,0,2,39,12,2,0,3,1,0,34,1,0,2,0.257,0.279,0.371,0.65,-0.05,58.5
에레디아,SSG,LF,1.56,39.0,165,163,149,27,58,7,0,6,83,32,1,2,11,3,2,22,4,0,2,0.389,0.436,0.557,0.993,0.079,156.5
최지훈,SSG,CF,1.36,42.0,195,194,172,31,48,7,1,3,66,14,13,2,21,0,0,29,2,1,1,0.279,0.356,0.384,0.74,-0.005,93.0
최정,SSG,3B,1.33,36.0,152,152,129,25,35,10,0,12,81,33,3,0,16,6,0,32,4,0,1,0.271,0.375,0.628,1.003,0.065,146.3
박성한,SSG,SS,1.01,42.0,184,182,163,24,49,9,0,1,61,16,4,2,20,0,1,24,3,1,0,0.301,0.377,0.374,0.751,0.001,97.6
이지영,SSG,C,0.8,40.0,133,132,122,14,35,2,0,0,37,16,4,0,6,3,0,9,1,1,1,0.287,0.333,0.303,0.636,-0.026,77.1
김성현,SSG,2B,0.49,19.0,66,65,56,10,13,2,0,0,15,5,1,0,5,4,0,8,2,1,0,0.232,0.338,0.268,0.606,-0.026,77.7
오태곤,SSG,LF,0.39,36.0,54,53,47,7,10,1,0,0,11,2,8,0,6,0,1,14,0,1,0,0.213,0.302,0.234,0.536,-0.077,39.2
최경모,SSG,2B,0.23,27.0,25,23,19,6,4,0,0,0,4,0,3,2,4,0,0,3,0,2,0,0.211,0.348,0.211,0.559,-0.022,81.1
박지환,SSG,SS,0.23,11.0,30,30,26,6,8,0,0,0,8,3,1,1,3,1,0,6,0,0,0,0.308,0.4,0.308,0.708,-0.008,90.4
고명준,SSG,1B,0.19,40.0,145,145,138,13,38,5,0,5,58,20,1,4,7,0,0,35,2,0,0,0.275,0.31,0.42,0.73,-0.032,72.4
정준재,SSG,2B,0.09,6.0,10,10,10,1,1,1,0,0,2,2,0,0,0,0,0,6,0,0,0,0.1,0.1,0.2,0.3,-0.193,-50.4
