Rank,Name,Position,WAR,G,GS,GR,GF,CG,SHO,W,L,S,HD,IP,ER,R,rRA,TBF,H,2B,3B,HR,BB,HP,IB,SO,ROE,BK,WP,ERA,RA9,rRA9,rRA9pf,FIP,WHIP,Team
1,양현종,P,2.12,8,8,0,1,1,0,3,1,0,0,50.2,15,16,15.5,206,42,9,0,4,12,2,0,37,3,0,1,2.66,2.84,2.75,2.76,4.19,1.07,KIA
2,네일,P,1.79,8,8,0,0,0,0,4,1,0,0,49.0,8,17,17.0,203,48,12,1,2,5,4,0,51,6,0,1,1.47,3.12,3.12,3.22,2.67,1.08,KIA
3,크로우,P,1.05,8,8,0,0,0,0,5,1,0,0,40.1,16,19,18.0,172,41,7,0,2,12,1,1,43,1,0,0,3.57,4.24,4.02,4.3,3.06,1.31,KIA
4,윤영철,P,0.95,7,7,0,0,0,0,3,1,0,0,37.1,18,19,18.0,162,34,4,0,3,19,0,0,26,4,0,0,4.34,4.58,4.34,4.45,5.01,1.42,KIA
5,정해영,P,0.63,16,0,16,16,0,0,2,1,12,0,17.2,5,5,6.2,75,18,0,0,3,5,0,0,19,0,0,0,2.55,2.55,3.16,3.2,4.42,1.3,KIA
6,최지민,P,0.56,21,0,21,2,0,0,2,2,2,5,18.0,4,5,7.4,83,13,4,0,0,15,2,0,12,1,0,3,2.0,2.5,3.7,3.67,5.48,1.56,KIA
7,곽도규,P,0.54,22,0,22,0,0,0,1,0,0,6,17.1,4,5,6.2,75,11,1,0,1,13,0,0,23,1,0,2,2.08,2.6,3.22,3.37,3.91,1.38,KIA
8,황동하,P,0.12,6,3,3,3,0,0,0,2,0,0,17.2,9,13,13.35,79,17,5,0,3,9,1,0,9,2,0,1,4.58,6.62,6.8,6.91,6.72,1.47,KIA
9,장현식,P,0.12,23,0,23,1,0,0,0,1,0,5,20.0,11,15,12.25,91,19,5,0,4,12,0,0,23,3,0,2,4.95,6.75,5.51,5.69,5.58,1.55,KIA
10,이의리,P,0.11,3,3,0,0,0,0,1,0,0,0,10.1,5,7,7.0,55,13,3,0,1,11,0,0,14,1,0,0,4.35,6.1,6.1,6.25,5.28,2.32,KIA
11,전상현,P,0.1,19,0,19,1,0,0,2,3,0,7,16.1,12,12,9.6,69,18,3,0,2,3,1,0,9,0,0,0,6.61,6.61,5.29,5.62,5.05,1.29,KIA
12,김건국,P,0.09,10,2,8,1,0,0,0,1,0,0,20.0,15,16,13.4,93,26,6,0,2,7,0,0,12,1,0,3,6.75,7.2,6.03,6.26,4.99,1.65,KIA
13,임기영,P,0.05,2,0,2,0,0,0,1,0,0,0,1.1,0,0,0.5,7,0,0,0,0,3,0,0,2,0,0,0,0.0,0.0,3.38,3.57,7.44,2.25,KIA
14,김도현,P,-0.01,5,0,5,1,0,0,0,0,0,1,3.0,2,2,2.5,18,4,0,0,1,4,1,0,4,0,0,1,6.0,6.0,7.5,7.81,10.01,2.67,KIA
